cnty_fips,county,state,Value,theme_range
53023,Garfield,Washington,2224,75 - 9055 (644)
53025,Grant,Washington,94860,91049.1 - 10098052 (644)
53043,Lincoln,Washington,10435,9055.1 - 19054 (644)
53051,Pend Oreille,Washington,13219,9055.1 - 19054 (644)
53063,Spokane,Washington,497875,91049.1 - 10098052 (644)
53065,Stevens,Washington,44214,36769.1 - 91049 (644)
53071,Walla Walla,Washington,60236,36769.1 - 91049 (644)
53075,Whitman,Washington,48593,36769.1 - 91049 (644)
56033,Sheridan,Wyoming,30012,19054.1 - 36769 (644)
1003,Baldwin,Alabama,208107,91049.1 - 10098052 (644)
1005,Barbour,Alabama,25782,19054.1 - 36769 (644)
1011,Bullock,Alabama,10352,9055.1 - 19054 (644)
1013,Butler,Alabama,20025,19054.1 - 36769 (644)
1023,Choctaw,Alabama,13075,9055.1 - 19054 (644)
1025,Clarke,Alabama,24387,19054.1 - 36769 (644)
1031,Coffee,Alabama,51288,36769.1 - 91049 (644)
1035,Conecuh,Alabama,12514,9055.1 - 19054 (644)
1039,Covington,Alabama,37351,36769.1 - 91049 (644)
1041,Crenshaw,Alabama,13865,9055.1 - 19054 (644)
1045,Dale,Alabama,49255,36769.1 - 91049 (644)
1053,Escambia,Alabama,37328,36769.1 - 91049 (644)
1061,Geneva,Alabama,26491,19054.1 - 36769 (644)
1067,Henry,Alabama,17124,9055.1 - 19054 (644)
1069,Houston,Alabama,104352,91049.1 - 10098052 (644)
1097,Mobile,Alabama,414659,91049.1 - 10098052 (644)
1099,Monroe,Alabama,21512,19054.1 - 36769 (644)
1109,Pike,Alabama,33403,19054.1 - 36769 (644)
1129,Washington,Alabama,16643,9055.1 - 19054 (644)
1131,Wilcox,Alabama,10809,9055.1 - 19054 (644)
12001,Alachua,Florida,263148,91049.1 - 10098052 (644)
12003,Baker,Florida,27785,19054.1 - 36769 (644)
12005,Bay,Florida,182482,91049.1 - 10098052 (644)
12007,Bradford,Florida,26979,19054.1 - 36769 (644)
12009,Brevard,Florida,576808,91049.1 - 10098052 (644)
12013,Calhoun,Florida,14444,9055.1 - 19054 (644)
12015,Charlotte,Florida,176954,91049.1 - 10098052 (644)
12017,Citrus,Florida,143087,91049.1 - 10098052 (644)
12019,Clay,Florida,207291,91049.1 - 10098052 (644)
12021,Collier,Florida,363922,91049.1 - 10098052 (644)
12023,Columbia,Florida,69105,36769.1 - 91049 (644)
12027,DeSoto,Florida,36399,19054.1 - 36769 (644)
12029,Dixie,Florida,16437,9055.1 - 19054 (644)
12031,Duval,Florida,924229,91049.1 - 10098052 (644)
12033,Escambia,Florida,311522,91049.1 - 10098052 (644)
12035,Flagler,Florida,107139,91049.1 - 10098052 (644)
12037,Franklin,Florida,11736,9055.1 - 19054 (644)
12039,Gadsden,Florida,46017,36769.1 - 91049 (644)
12041,Gilchrist,Florida,17615,9055.1 - 19054 (644)
12043,Glades,Florida,13363,9055.1 - 19054 (644)
12045,Gulf,Florida,16055,9055.1 - 19054 (644)
12047,Hamilton,Florida,14269,9055.1 - 19054 (644)
12049,Hardee,Florida,27228,19054.1 - 36769 (644)
12051,Hendry,Florida,40127,36769.1 - 91049 (644)
12053,Hernando,Florida,182696,91049.1 - 10098052 (644)
12055,Highlands,Florida,102101,91049.1 - 10098052 (644)
12057,Hillsborough,Florida,1378883,91049.1 - 10098052 (644)
12059,Holmes,Florida,19430,19054.1 - 36769 (644)
12061,Indian River,Florida,150984,91049.1 - 10098052 (644)
12063,Jackson,Florida,48472,36769.1 - 91049 (644)
12065,Jefferson,Florida,14105,9055.1 - 19054 (644)
12067,Lafayette,Florida,8744,75 - 9055 (644)
12069,Lake,Florida,335362,91049.1 - 10098052 (644)
12071,Lee,Florida,718679,91049.1 - 10098052 (644)
